label,cif,icsd_collection_code,source,train_test_label,formula,Tc
1,split_cifs_by_csv_label/train/Ag0.775Sn0.225-ICSD-58353-synth_doped.cif,58353.0,3DSC,train,Ag0.775Sn0.225,0.09
1,split_cifs_by_csv_label/test/Ag0.885Sb0.115-ICSD-605767-synth_doped.cif,605767.0,3DSC,test,Ag0.885Sb0.115,0.019
1,split_cifs_by_csv_label/train/Ag0.94Tl0.06-ICSD-107743-synth_doped.cif,107743.0,3DSC,train,Ag0.94Tl0.06,2.32
1,split_cifs_by_csv_label/train/Ag1B2-ICSD-43821.cif,43821.0,3DSC,train,Ag1B2,6.7
1,split_cifs_by_csv_label/train/Ag1Te3-ICSD-107742.cif,107742.0,3DSC,train,Ag1Te3,2.6
1,split_cifs_by_csv_label/train/Al0.01B0.99Li2Pt3-ICSD-246448-synth_doped.cif,246448.0,3DSC,train,Al0.01B0.99Li2Pt3,2.86
1,split_cifs_by_csv_label/train/Al0.04Au0.92Ga0.04-ICSD-606040.cif,606040.0,3DSC,train,Al0.04Au0.92Ga0.04,0.101
1,split_cifs_by_csv_label/train/Al0.04Au0.92In0.04-ICSD-606044.cif,606044.0,3DSC,train,Al0.04Au0.92In0.04,0.0555
1,split_cifs_by_csv_label/test/Al0.05Au0.95-ICSD-606021-synth_doped.cif,606021.0,3DSC,test,Al0.05Au0.95,0.0138
1,split_cifs_by_csv_label/test/Al0.05B0.95Li2Pd3-ICSD-246447-synth_doped.cif,246447.0,3DSC,test,Al0.05B0.95Li2Pd3,7.75
1,split_cifs_by_csv_label/train/Al0.05B0.95Li2Pt3-ICSD-246448-synth_doped.cif,246448.0,3DSC,train,Al0.05B0.95Li2Pt3,2.12
1,split_cifs_by_csv_label/test/Al0.08Au0.92-ICSD-606021.cif,606021.0,3DSC,test,Al0.08Au0.92,0.088
1,split_cifs_by_csv_label/train/Al0.102Ti0.898-ICSD-609522-synth_doped.cif,609522.0,3DSC,train,Al0.102Ti0.898,0.73
1,split_cifs_by_csv_label/train/Al0.11N0.84Nb0.89O0.16-ICSD-174450.cif,174450.0,3DSC,train,Al0.11N0.84Nb0.89O0.16,16.7
1,split_cifs_by_csv_label/train/Al0.14Au0.86-ICSD-606021-synth_doped.cif,606021.0,3DSC,train,Al0.14Au0.86,0.385
1,split_cifs_by_csv_label/train/Al0.15Nb0.75Si0.1-ICSD-52644-synth_doped.cif,52644.0,3DSC,train,Al0.15Nb0.75Si0.1,15.4
1,split_cifs_by_csv_label/test/Al0.16Ge0.09Nb0.75-ICSD-607985-synth_doped.cif,607985.0,3DSC,test,Al0.16Ge0.09Nb0.75,19.7
1,split_cifs_by_csv_label/train/Al0.178Ge0.072Nb0.75-ICSD-607985-synth_doped.cif,607985.0,3DSC,train,Al0.178Ge0.072Nb0.75,20.1
1,split_cifs_by_csv_label/train/Al0.17Ge0.08Nb0.75-ICSD-607985-synth_doped.cif,607985.0,3DSC,train,Al0.17Ge0.08Nb0.75,19.8
1,split_cifs_by_csv_label/train/Al0.185Ge0.065Nb0.75-ICSD-607985-synth_doped.cif,607985.0,3DSC,train,Al0.185Ge0.065Nb0.75,20.26
1,split_cifs_by_csv_label/train/Al0.188Ge0.062Nb0.75-ICSD-607985-synth_doped.cif,607985.0,3DSC,train,Al0.188Ge0.062Nb0.75,20.0
1,split_cifs_by_csv_label/test/Al0.18Ge0.07Nb0.75-ICSD-607985-synth_doped.cif,607985.0,3DSC,test,Al0.18Ge0.07Nb0.75,19.8
1,split_cifs_by_csv_label/train/Al0.1B0.9Li2Pd3-ICSD-246447-synth_doped.cif,246447.0,3DSC,train,Al0.1B0.9Li2Pd3,7.49
1,split_cifs_by_csv_label/train/Al0.215Nb0.785-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.215Nb0.785,17.97
1,split_cifs_by_csv_label/train/Al0.245Nb0.725-ICSD-107858-synth_doped.cif,107858.0,3DSC,train,Al0.245Nb0.725,18.4
1,split_cifs_by_csv_label/train/Al0.2Nb0.75Si0.05-ICSD-52644-synth_doped.cif,52644.0,3DSC,train,Al0.2Nb0.75Si0.05,15.4
1,split_cifs_by_csv_label/test/Al0.33Ga0.67Nb3-ICSD-607787-synth_doped.cif,607787.0,3DSC,test,Al0.33Ga0.67Nb3,18.1
1,split_cifs_by_csv_label/train/Al0.35Ga0.65Nb3-ICSD-607787-synth_doped.cif,607787.0,3DSC,train,Al0.35Ga0.65Nb3,18.1
1,split_cifs_by_csv_label/train/Al0.39Ge0.61Nb3-ICSD-607985-synth_doped.cif,607985.0,3DSC,train,Al0.39Ge0.61Nb3,7.3
1,split_cifs_by_csv_label/train/Al0.39Mg0.61-ICSD-608411-synth_doped.cif,608411.0,3DSC,train,Al0.39Mg0.61,1.5
1,split_cifs_by_csv_label/train/Al0.55Ge0.45Nb3-ICSD-607985-synth_doped.cif,607985.0,3DSC,train,Al0.55Ge0.45Nb3,11.7
1,split_cifs_by_csv_label/train/Al0.5Ga0.5V3-ICSD-57864.cif,57864.0,3DSC,train,Al0.5Ga0.5V3,12.9
1,split_cifs_by_csv_label/train/Al0.5Ge0.5Th2-ICSD-608019.cif,608019.0,3DSC,train,Al0.5Ge0.5Th2,0.21
1,split_cifs_by_csv_label/train/Al0.62Ge0.38Nb3-ICSD-607985-synth_doped.cif,607985.0,3DSC,train,Al0.62Ge0.38Nb3,17.2
1,split_cifs_by_csv_label/train/Al0.66Ge0.34Nb3-ICSD-607985-synth_doped.cif,607985.0,3DSC,train,Al0.66Ge0.34Nb3,20.4
1,split_cifs_by_csv_label/test/Al0.6Ge0.4Nb3-ICSD-607985-synth_doped.cif,607985.0,3DSC,test,Al0.6Ge0.4Nb3,19.7
1,split_cifs_by_csv_label/train/Al0.6Mg1.4Si1-ICSD-237138-synth_doped.cif,237138.0,3DSC,train,Al0.6Mg1.4Si1,6.0
1,split_cifs_by_csv_label/train/Al0.72Nb3.28-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.72Nb3.28,6.2
1,split_cifs_by_csv_label/train/Al0.74Ca1Si1.26-ICSD-251015.cif,251015.0,3DSC,train,Al0.74Ca1Si1.26,2.46
1,split_cifs_by_csv_label/train/Al0.7Be0.3Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.7Be0.3Nb3,14.0
1,split_cifs_by_csv_label/train/Al0.81Ge0.19Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.81Ge0.19Nb3,17.6
1,split_cifs_by_csv_label/test/Al0.83Ge0.17Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al0.83Ge0.17Nb3,19.6
1,split_cifs_by_csv_label/train/Al0.8B0.2Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.8B0.2Nb3,17.8
1,split_cifs_by_csv_label/train/Al0.8Be0.2Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.8Be0.2Nb3,17.0
1,split_cifs_by_csv_label/train/Al0.8Ca1Ga0.2Si1-ICSD-155853-synth_doped.cif,155853.0,3DSC,train,Al0.8Ca1Ga0.2Si1,5.6
1,split_cifs_by_csv_label/test/Al0.8Ca1Si1.2-ICSD-251015-synth_doped.cif,251015.0,3DSC,test,Al0.8Ca1Si1.2,4.05
1,split_cifs_by_csv_label/train/Al0.8Ga0.2Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.8Ga0.2Nb3,18.395
1,split_cifs_by_csv_label/train/Al0.8In0.2Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.8In0.2Nb3,18.1
1,split_cifs_by_csv_label/train/Al0.8Nb3Sn0.2-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.8Nb3Sn0.2,14.6
1,split_cifs_by_csv_label/test/Al0.8Nb3Zn0.2-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al0.8Nb3Zn0.2,17.7
1,split_cifs_by_csv_label/train/Al0.907Ga0.093Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.907Ga0.093Nb3,19.1
1,split_cifs_by_csv_label/train/Al0.91Ge0.09Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.91Ge0.09Nb3,19.8
1,split_cifs_by_csv_label/train/Al0.924Nb3Se0.076-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.924Nb3Se0.076,17.6
1,split_cifs_by_csv_label/test/Al0.927Ga0.073Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al0.927Ga0.073Nb3,19.2
1,split_cifs_by_csv_label/train/Al0.935Nb3Si0.065-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.935Nb3Si0.065,18.4
1,split_cifs_by_csv_label/train/Al0.93Ge0.07Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.93Ge0.07Nb3,20.0
1,split_cifs_by_csv_label/train/Al0.945Nb3Si0.055-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.945Nb3Si0.055,18.4
1,split_cifs_by_csv_label/train/Al0.94Ge0.06Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.94Ge0.06Nb3,20.0
1,split_cifs_by_csv_label/train/Al0.94Nb3Se0.06-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.94Nb3Se0.06,17.8
1,split_cifs_by_csv_label/train/Al0.952Nb3Se0.048-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.952Nb3Se0.048,18.0
1,split_cifs_by_csv_label/test/Al0.956Nb3Si0.044-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al0.956Nb3Si0.044,18.5
1,split_cifs_by_csv_label/train/Al0.95B0.05Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.95B0.05Nb3,19.1
1,split_cifs_by_csv_label/test/Al0.95Be0.05Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al0.95Be0.05Nb3,19.700000000000003
1,split_cifs_by_csv_label/train/Al0.95Ga0.05Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.95Ga0.05Nb3,19.2
1,split_cifs_by_csv_label/train/Al0.95Ge0.05Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.95Ge0.05Nb3,20.0
1,split_cifs_by_csv_label/train/Al0.95Li0.05-ICSD-608337-synth_doped.cif,608337.0,3DSC,train,Al0.95Li0.05,1.13
1,split_cifs_by_csv_label/train/Al0.964Nb3Si0.036-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.964Nb3Si0.036,18.4
1,split_cifs_by_csv_label/train/Al0.967Ga0.033Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.967Ga0.033Nb3,19.0
1,split_cifs_by_csv_label/train/Al0.967Nb3Se0.033-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.967Nb3Se0.033,18.1
1,split_cifs_by_csv_label/test/Al0.96Ge0.04Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al0.96Ge0.04Nb3,19.8
1,split_cifs_by_csv_label/train/Al0.975Nb3Si0.025-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.975Nb3Si0.025,18.5
1,split_cifs_by_csv_label/train/Al0.97Ge0.03Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.97Ge0.03Nb3,19.6
1,split_cifs_by_csv_label/test/Al0.97Li0.03-ICSD-608337-synth_doped.cif,608337.0,3DSC,test,Al0.97Li0.03,1.05
1,split_cifs_by_csv_label/train/Al0.983Ga0.017Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.983Ga0.017Nb3,18.8
1,split_cifs_by_csv_label/train/Al0.985Nb3Si0.015-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.985Nb3Si0.015,18.6
1,split_cifs_by_csv_label/train/Al0.98Ge0.02Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.98Ge0.02Nb3,19.3
1,split_cifs_by_csv_label/test/Al0.98Nb3Se0.02-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al0.98Nb3Se0.02,18.4
1,split_cifs_by_csv_label/train/Al0.991Ge0.009Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.991Ge0.009Nb3,19.0
1,split_cifs_by_csv_label/train/Al0.999Mn0.001-ICSD-107852-synth_doped.cif,107852.0,3DSC,train,Al0.999Mn0.001,0.596
1,split_cifs_by_csv_label/train/Al0.99Li0.01-ICSD-608337-synth_doped.cif,608337.0,3DSC,train,Al0.99Li0.01,1.07
1,split_cifs_by_csv_label/train/Al0.9B0.1Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.9B0.1Nb3,19.8
1,split_cifs_by_csv_label/train/Al0.9Be0.1Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.9Be0.1Nb3,19.8
1,split_cifs_by_csv_label/test/Al0.9Ca1Ga0.1Si1-ICSD-155853-synth_doped.cif,155853.0,3DSC,test,Al0.9Ca1Ga0.1Si1,6.54
1,split_cifs_by_csv_label/train/Al0.9Ca1Si1.1-ICSD-251015-synth_doped.cif,251015.0,3DSC,train,Al0.9Ca1Si1.1,5.57
1,split_cifs_by_csv_label/test/Al0.9Ge0.1-ICSD-607949-synth_doped.cif,607949.0,3DSC,test,Al0.9Ge0.1,6.45
1,split_cifs_by_csv_label/train/Al0.9In0.1Nb3-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.9In0.1Nb3,18.3
1,split_cifs_by_csv_label/train/Al0.9Li0.1-ICSD-608337-synth_doped.cif,608337.0,3DSC,train,Al0.9Li0.1,1.29
1,split_cifs_by_csv_label/train/Al0.9Nb3Sb0.1-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.9Nb3Sb0.1,18.06
1,split_cifs_by_csv_label/train/Al0.9Nb3Se0.1-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.9Nb3Se0.1,17.6
1,split_cifs_by_csv_label/train/Al0.9Nb3Sn0.1-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.9Nb3Sn0.1,16.1
1,split_cifs_by_csv_label/train/Al0.9Nb3Zn0.1-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al0.9Nb3Zn0.1,18.1
1,split_cifs_by_csv_label/test/Al13Os4-ICSD-58110.cif,58110.0,3DSC,test,Al13Os4,5.4
1,split_cifs_by_csv_label/train/Al1Au2Sc1-ICSD-57505.cif,57505.0,3DSC,train,Al1Au2Sc1,4.4
1,split_cifs_by_csv_label/test/Al1Au4-ICSD-57498.cif,57498.0,3DSC,test,Al1Au4,0.55
1,split_cifs_by_csv_label/train/Al1Ba1Ge1-ICSD-417662.cif,417662.0,3DSC,train,Al1Ba1Ge1,6.3
1,split_cifs_by_csv_label/train/Al1Ba1Sn1-ICSD-166390.cif,166390.0,3DSC,train,Al1Ba1Sn1,2.9
1,split_cifs_by_csv_label/train/Al1Cr0.3Nb2.7-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Cr0.3Nb2.7,14.1
1,split_cifs_by_csv_label/train/Al1Cu1-ICSD-182032-synth_doped.cif,182032.0,3DSC,train,Al1Cu1,3.45
1,split_cifs_by_csv_label/train/Al1Ge1-ICSD-193394-synth_doped.cif,193394.0,3DSC,train,Al1Ge1,5.5
1,split_cifs_by_csv_label/test/Al1Ge1Sr1-ICSD-418391.cif,418391.0,3DSC,test,Al1Ge1Sr1,6.7
1,split_cifs_by_csv_label/test/Al1Ge3Y2-ICSD-78969.cif,78969.0,3DSC,test,Al1Ge3Y2,4.5
1,split_cifs_by_csv_label/train/Al1Hf0.015Nb2.985-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Hf0.015Nb2.985,18.0
1,split_cifs_by_csv_label/test/Al1Hf0.081Nb2.919-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al1Hf0.081Nb2.919,16.5
1,split_cifs_by_csv_label/test/Al1Hf0.15Nb2.85-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al1Hf0.15Nb2.85,14.4
1,split_cifs_by_csv_label/train/Al1Hf0.75Pd2Y0.25-ICSD-57906-synth_doped.cif,57906.0,3DSC,train,Al1Hf0.75Pd2Y0.25,3.2
1,split_cifs_by_csv_label/train/Al1Hf1Pd2-ICSD-57906.cif,57906.0,3DSC,train,Al1Hf1Pd2,3.621666667
1,split_cifs_by_csv_label/train/Al1La1Rh1-ICSD-431419.cif,431419.0,3DSC,train,Al1La1Rh1,2.4
1,split_cifs_by_csv_label/train/Al1Mg1Si1-ICSD-153549.cif,153549.0,3DSC,train,Al1Mg1Si1,6.0
1,split_cifs_by_csv_label/train/Al1Mo0.15Nb2.85-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Mo0.15Nb2.85,14.45
1,split_cifs_by_csv_label/train/Al1Mo0.225Nb2.775-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Mo0.225Nb2.775,13.8
1,split_cifs_by_csv_label/test/Al1Mo0.3Nb2.7-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al1Mo0.3Nb2.7,11.85
1,split_cifs_by_csv_label/test/Al1Mo1.5Nb1.5-ICSD-58004.cif,58004.0,3DSC,test,Al1Mo1.5Nb1.5,4.9
1,split_cifs_by_csv_label/train/Al1Mo1.8Nb1.2-ICSD-58004-synth_doped.cif,58004.0,3DSC,train,Al1Mo1.8Nb1.2,4.2
1,split_cifs_by_csv_label/train/Al1Nb0.1Pd2Zr0.9-ICSD-58122-synth_doped.cif,58122.0,3DSC,train,Al1Nb0.1Pd2Zr0.9,2.1
1,split_cifs_by_csv_label/test/Al1Nb2.706V0.294-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al1Nb2.706V0.294,15.6
1,split_cifs_by_csv_label/train/Al1Nb2.739Ta0.261-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.739Ta0.261,15.4
1,split_cifs_by_csv_label/train/Al1Nb2.73Ti0.27-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.73Ti0.27,11.5
1,split_cifs_by_csv_label/train/Al1Nb2.778Ti0.222-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.778Ti0.222,13.0
1,split_cifs_by_csv_label/test/Al1Nb2.7V0.3-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al1Nb2.7V0.3,15.4
1,split_cifs_by_csv_label/train/Al1Nb2.859V0.141-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.859V0.141,17.2
1,split_cifs_by_csv_label/train/Al1Nb2.859Zr0.141-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.859Zr0.141,13.6
1,split_cifs_by_csv_label/train/Al1Nb2.85Ta0.15-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.85Ta0.15,16.8
1,split_cifs_by_csv_label/train/Al1Nb2.85W0.15-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.85W0.15,15.2
1,split_cifs_by_csv_label/train/Al1Nb2.88Ti0.12-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.88Ti0.12,15.0
1,split_cifs_by_csv_label/train/Al1Nb2.895W0.105-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.895W0.105,16.0
1,split_cifs_by_csv_label/train/Al1Nb2.917Ti0.083-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.917Ti0.083,16.0
1,split_cifs_by_csv_label/test/Al1Nb2.91Zr0.09-ICSD-608654-synth_doped.cif,608654.0,3DSC,test,Al1Nb2.91Zr0.09,14.6
1,split_cifs_by_csv_label/train/Al1Nb2.927Zr0.073-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.927Zr0.073,14.8
1,split_cifs_by_csv_label/train/Al1Nb2.94Ta0.06-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.94Ta0.06,17.7
1,split_cifs_by_csv_label/train/Al1Nb2.94W0.06-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.94W0.06,17.2
1,split_cifs_by_csv_label/train/Al1Nb2.973Zr0.027-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.973Zr0.027,16.6
1,split_cifs_by_csv_label/train/Al1Nb2.976Ti0.024-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.976Ti0.024,17.7
1,split_cifs_by_csv_label/train/Al1Nb2.97W0.03-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.97W0.03,18.0
1,split_cifs_by_csv_label/train/Al1Nb2.97Zr0.03-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.97Zr0.03,17.4
1,split_cifs_by_csv_label/train/Al1Nb2.993Zr0.007-ICSD-608654-synth_doped.cif,608654.0,3DSC,train,Al1Nb2.993Zr0.007,17.6
1,split_cifs_by_csv_label/train/Al1Nb2Ni1-ICSD-608705-synth_doped.cif,608705.0,3DSC,train,Al1Nb2Ni1,4.2
1,split_cifs_by_csv_label/train/Al1Pd2Zr1-ICSD-58122.cif,58122.0,3DSC,train,Al1Pd2Zr1,3.3
1,split_cifs_by_csv_label/train/Al2.06Cu1-ICSD-57668-synth_doped.cif,57668.0,3DSC,train,Al2.06Cu1,0.65
1,split_cifs_by_csv_label/train/Al2.98Ni2U1-ICSD-659142-synth_doped.cif,659142.0,3DSC,train,Al2.98Ni2U1,1.155
1,split_cifs_by_csv_label/train/Al20.3V20-ICSD-107897-synth_doped.cif,107897.0,3DSC,train,Al20.3V20,1.49
1,split_cifs_by_csv_label/train/Al20Pr1Ti2-ICSD-236258.cif,236258.0,3DSC,train,Al20Pr1Ti2,0.19
1,split_cifs_by_csv_label/train/Al20Pr1V2-ICSD-236263.cif,236263.0,3DSC,train,Al20Pr1V2,0.029666667
1,split_cifs_by_csv_label/train/Al20V2Y1-ICSD-257744.cif,257744.0,3DSC,train,Al20V2Y1,0.69
1,split_cifs_by_csv_label/train/Al2C1Mo3-ICSD-42917.cif,42917.0,3DSC,train,Al2C1Mo3,9.61
1,split_cifs_by_csv_label/train/Al3.05Ni1.95U1-ICSD-659142-synth_doped.cif,659142.0,3DSC,train,Al3.05Ni1.95U1,0.16
1,split_cifs_by_csv_label/train/Al3Ca2Si4-ICSD-20278-synth_doped.cif,20278.0,3DSC,train,Al3Ca2Si4,6.2
1,split_cifs_by_csv_label/train/Al3La1Pd2-ICSD-105500.cif,105500.0,3DSC,train,Al3La1Pd2,0.85
1,split_cifs_by_csv_label/train/Al3Ni1.98U1-ICSD-659142-synth_doped.cif,659142.0,3DSC,train,Al3Ni1.98U1,1.13
1,split_cifs_by_csv_label/train/Al3Ni2U0.98-ICSD-659142-synth_doped.cif,659142.0,3DSC,train,Al3Ni2U0.98,1.145
1,split_cifs_by_csv_label/train/Al3Ni2U1-ICSD-659142.cif,659142.0,3DSC,train,Al3Ni2U1,1.021
1,split_cifs_by_csv_label/train/Al43Mo4Y6-ICSD-658854.cif,658854.0,3DSC,train,Al43Mo4Y6,0.75
1,split_cifs_by_csv_label/train/Al5Re24-ICSD-609200.cif,609200.0,3DSC,train,Al5Re24,3.35
1,split_cifs_by_csv_label/train/As0.25Se0.75Y1-ICSD-44061.cif,44061.0,3DSC,train,As0.25Se0.75Y1,0.78
1,split_cifs_by_csv_label/test/As0.74Ba1Fe2P1.26-ICSD-193612-synth_doped.cif,193612.0,3DSC,test,As0.74Ba1Fe2P1.26,7.73
1,split_cifs_by_csv_label/train/As0.7F0.05Fe1La1P0.3O0.95-ICSD-184646-synth_doped.cif,184646.0,3DSC,train,As0.7F0.05Fe1La1P0.3O0.95,15.75
1,split_cifs_by_csv_label/train/As0.88Ba1Fe2P1.12-ICSD-193612-synth_doped.cif,193612.0,3DSC,train,As0.88Ba1Fe2P1.12,13.9
1,split_cifs_by_csv_label/train/As0.8F0.1Fe1Nd1P0.2O0.9-ICSD-163548-synth_doped.cif,163548.0,3DSC,train,As0.8F0.1Fe1Nd1P0.2O0.9,34.1
1,split_cifs_by_csv_label/train/As0.8F0.1Fe1P0.2Pr1O0.9-ICSD-162831-synth_doped.cif,162831.0,3DSC,train,As0.8F0.1Fe1P0.2Pr1O0.9,29.2
1,split_cifs_by_csv_label/train/As0.95F0.12Fe1P0.05Sm1O0.88-ICSD-162157-synth_doped.cif,162157.0,3DSC,train,As0.95F0.12Fe1P0.05Sm1O0.88,46.8
